combo,trend_strength_strong,trend_strength_sideways,vol_expanding_mult,hurst_accumulation,mr_min_score,pf,sharpe,wr,dd,return,trades
TS0.35_SS0.35_VE1.20_HA0.50_MR3.0,0.35,0.35,1.2,0.5,3.0,1.59,1.77,52.1,22.54,1364.5,461
TS0.35_SS0.35_VE1.25_HA0.40_MR2.0,0.35,0.35,1.25,0.4,2.0,1.51,1.54,50.9,34.36,1259.99,479
TS0.35_SS0.35_VE1.25_HA0.40_MR2.5,0.35,0.35,1.25,0.4,2.5,1.5,1.52,51.4,37.21,1237.16,477
TS0.35_SS0.35_VE1.25_HA0.40_MR3.0,0.35,0.35,1.25,0.4,3.0,1.59,1.77,52.1,22.54,1364.5,461
TS0.35_SS0.35_VE1.25_HA0.45_MR2.0,0.35,0.35,1.25,0.45,2.0,1.51,1.54,50.9,34.36,1259.99,479
TS0.35_SS0.35_VE1.25_HA0.45_MR2.5,0.35,0.35,1.25,0.45,2.5,1.5,1.52,51.4,37.21,1237.16,477
TS0.35_SS0.35_VE1.25_HA0.45_MR3.0,0.35,0.35,1.25,0.45,3.0,1.59,1.77,52.1,22.54,1364.5,461
TS0.35_SS0.35_VE1.25_HA0.50_MR2.0,0.35,0.35,1.25,0.5,2.0,1.51,1.54,50.9,34.36,1259.99,479
TS0.35_SS0.35_VE1.25_HA0.50_MR2.5,0.35,0.35,1.25,0.5,2.5,1.5,1.52,51.4,37.21,1237.16,477
TS0.35_SS0.35_VE1.25_HA0.50_MR3.0,0.35,0.35,1.25,0.5,3.0,1.59,1.77,52.1,22.54,1364.5,461
TS0.40_SS0.25_VE1.15_HA0.40_MR2.0,0.4,0.25,1.15,0.4,2.0,1.61,1.73,51.4,26.24,1388.58,463
TS0.40_SS0.25_VE1.15_HA0.40_MR2.5,0.4,0.25,1.15,0.4,2.5,1.68,1.83,52.6,22.69,1518.5,458
TS0.40_SS0.25_VE1.15_HA0.40_MR3.0,0.4,0.25,1.15,0.4,3.0,1.7,1.84,52.5,22.11,1471.2,446
TS0.40_SS0.25_VE1.15_HA0.45_MR2.0,0.4,0.25,1.15,0.45,2.0,1.61,1.73,51.4,26.24,1388.58,463
TS0.40_SS0.25_VE1.15_HA0.45_MR2.5,0.4,0.25,1.15,0.45,2.5,1.68,1.83,52.6,22.69,1518.5,458
